"","department_descr","product_group_descr","product_module_descr","new_label"
"1","GENERAL MERCHANDISE","AUTOMOTIVE","MOTOR OIL-AUTO","Automotive (care and maintenance)"
"2","GENERAL MERCHANDISE","AUTOMOTIVE","AUTO ACCESSORIES","Automotive (care and maintenance)"
"3","GENERAL MERCHANDISE","AUTOMOTIVE","ENGINE TREATMENTS","Automotive (care and maintenance)"
"4","GENERAL MERCHANDISE","AUTOMOTIVE","AUTOMOTIVE CLEANERS, PROTECTANTS & WASHES","Automotive (care and maintenance)"
"5","GENERAL MERCHANDISE","AUTOMOTIVE","KEY CHAINS & KEY RINGS","Automotive (care and maintenance)"
"6","GENERAL MERCHANDISE","AUTOMOTIVE","MOTOR OIL FLUID AND LUBE","Automotive (care and maintenance)"
"7","GENERAL MERCHANDISE","AUTOMOTIVE","ENGINE TREATMENT AND ADDITIVE","Automotive (care and maintenance)"
"8","GENERAL MERCHANDISE","AUTOMOTIVE","MOTORIZED VEHICLE CLEANER AND PROTECTANT","Automotive (care and maintenance)"
"9","GENERAL MERCHANDISE","AUTOMOTIVE","AUTOMOTIVE COMBINATIONS","Automotive (care and maintenance)"
"10","GENERAL MERCHANDISE","AUTOMOTIVE","BRUSHES - AUTOMOTIVE","Automotive (care and maintenance)"
"11","GENERAL MERCHANDISE","AUTOMOTIVE","WAX - CAR","Automotive wax"
"12","HEALTH & BEAUTY CARE","BABY NEEDS","BABY ACCESSORY","Baby care"
"13","HEALTH & BEAUTY CARE","BABY NEEDS","BABY BIB AND BURP CLOTH","Baby care"
"14","HEALTH & BEAUTY CARE","BABY NEEDS","INFANT TODDLER FEEDING","Baby care"
"15","HEALTH & BEAUTY CARE","BABY NEEDS","BABY CARE PRODUCTS-LOTIONS","Baby care"
"16","HEALTH & BEAUTY CARE","BABY NEEDS","BABY BOTTLES & NIPPLES","Baby care"
"17","HEALTH & BEAUTY CARE","BABY NEEDS","BABY PACFR/TEETHR & BOTTLE/NIPPLE BRUSHES","Baby care"
"18","HEALTH & BEAUTY CARE","BABY NEEDS","BABY CARE PRODUCTS-POWDER","Baby care"
"19","HEALTH & BEAUTY CARE","BABY NEEDS","BABY CARE PRODUCTS-OIL","Baby care"
"20","HEALTH & BEAUTY CARE","BABY NEEDS","BABY CARE PRODUCTS-OINTMENTS","Baby care"
"21","HEALTH & BEAUTY CARE","BABY NEEDS","NURSING ACCESSORIES","Baby care"
"22","HEALTH & BEAUTY CARE","BABY NEEDS","BABY CARE PRODUCTS-BATH","Baby care"
"23","NON-FOOD GROCERY","DISPOSABLE DIAPERS","DISPOSABLE DIAPERS","Baby care"
"24","GENERAL MERCHANDISE","SOFT GOODS","LINENS-BABY","Baby care"
"25","GENERAL MERCHANDISE","SOFT GOODS","INFANT WEAR","Baby care"
"26","DRY GROCERY","BABY FOOD","BABY MILK AND MILK FLAVORING","Baby food"
"27","DRY GROCERY","BABY FOOD","BABY CEREAL & BISCUITS","Baby food"
"28","DRY GROCERY","BABY FOOD","BABY FOOD - STRAINED","Baby food"
"29","DRY GROCERY","BABY FOOD","BABY JUICE","Baby food"
"30","DRY GROCERY","BABY FOOD","BABY FOOD - JUNIOR","Baby food"
"31","DRY GROCERY","BABY FOOD","PERISHABLE GRAIN CAKE","Baby food"
"32","FROZEN FOODS","BAKED GOODS-FROZEN","DOUGH PRODUCTS-BREAD-FROZEN","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"33","FROZEN FOODS","BAKED GOODS-FROZEN","BAKERY-BAGELS-FROZEN","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"34","FROZEN FOODS","BAKED GOODS-FROZEN","BAKERY - DOUGHNUTS - FROZEN","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"35","FROZEN FOODS","BAKED GOODS-FROZEN","BAKERY-CHEESECAKE-FROZEN","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"36","FROZEN FOODS","BAKED GOODS-FROZEN","BAKERY - BISCUITS/ROLLS/MUFFINS - FROZEN","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"37","FROZEN FOODS","BAKED GOODS-FROZEN","BAKERY-BREAKFAST CAKES & SWEET ROLLS-FROZEN","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"38","FROZEN FOODS","BAKED GOODS-FROZEN","BAKERY - COBBLER/DUMPLINGS/STRUDEL - FROZEN","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"39","FROZEN FOODS","BAKED GOODS-FROZEN","BAKERY-BREAD-FROZEN","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"40","FROZEN FOODS","BAKED GOODS-FROZEN","BAKERY-COOKIES RTE/COOKIE DOUGH-FROZEN","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"41","FROZEN FOODS","BAKED GOODS-FROZEN","BAKERY - DESSERT CAKES - FROZEN","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"42","FROZEN FOODS","BAKED GOODS-FROZEN","BAKERY - PIES - FROZEN","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"43","FROZEN FOODS","BAKED GOODS-FROZEN","BAKERY - REMAINING - FROZEN","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"44","DRY GROCERY","BAKING MIXES","MIXES - CAKE/SPECIALTY - OVER 10 OZ.","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"45","DRY GROCERY","BAKING MIXES","MIXES - CAKE/SPECIALTY - 10 OZ & UNDER","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"46","DRY GROCERY","BAKING MIXES","MIXES - CAKE/LAYER - OVER 10 OZ.","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"47","DRY GROCERY","BAKING MIXES","MIXES - CAKE/LAYER - 10 OZ & UNDER","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"48","DRY GROCERY","BAKING MIXES","MIXES - BROWNIES","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"49","DRY GROCERY","BAKING MIXES","MIXES-MUFFIN","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"50","DRY GROCERY","BAKING MIXES","MIXES-COFFEE CAKE","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"51","DRY GROCERY","BAKING MIXES","MIXES-BREAD","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"52","DRY GROCERY","BAKING MIXES","MIXES-DESSERT-MISC.","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"53","DRY GROCERY","BAKING MIXES","MIXES-GINGERBREAD","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"54","DRY GROCERY","BAKING MIXES","MIXES-ROLLS & BISCUITS","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"55","DRY GROCERY","BAKING MIXES","MIXES-COOKIE","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"56","DRY GROCERY","BAKING MIXES","MIXES - HUSHPUPPY","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"57","DRY GROCERY","BAKING MIXES","MIXES-FROSTING","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"58","DRY GROCERY","BAKING MIXES","MIXES-PIE CRUST","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"59","DRY GROCERY","BAKING MIXES","MIXES-DUMPLING & KUGEL","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"60","DRY GROCERY","BAKING MIXES","MIXES - PANCAKE","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"61","DRY GROCERY","BAKING MIXES","PERISHABLE BREAD MIX","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"62","DRY GROCERY","BAKING MIXES","PERISHABLE MIXES - PANCAKE","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"63","DRY GROCERY","BAKING MIXES","PERISHABLE DESSERT MIX","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"64","DRY GROCERY","BAKING SUPPLIES","CAPERS","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"65","DRY GROCERY","BAKING SUPPLIES","MATZO MEAL/MIXES","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"66","DRY GROCERY","BAKING SUPPLIES","BREADING PRODUCTS","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"67","DRY GROCERY","BAKING SUPPLIES","CROUTONS","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"68","DRY GROCERY","BAKING SUPPLIES","PIE & PASTRY SHELLS-PREPARED","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"69","DRY GROCERY","BAKING SUPPLIES","STUFFING PRODUCTS","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"70","DRY GROCERY","BAKING SUPPLIES","FROSTING - REFRIGERATED/FROZEN","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"71","DRY GROCERY","BAKING SUPPLIES","FROSTING READY-TO-SPREAD","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"72","DRY GROCERY","BAKING SUPPLIES","FOOD COLORING","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"73","DRY GROCERY","BAKING SUPPLIES","CAKE DECORATIONS & ICING","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"74","DRY GROCERY","BAKING SUPPLIES","YEAST - DRY","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"75","DRY GROCERY","BAKING SUPPLIES","GRAHAM CRACKER & DESSERT CRUMBS","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"76","DRY GROCERY","BAKING SUPPLIES","BAKING CHIPS - MILK CHOCOLATE","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"77","DRY GROCERY","BAKING SUPPLIES","FRUIT-GLAZED","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"78","DRY GROCERY","BAKING SUPPLIES","COCONUT","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"79","DRY GROCERY","BAKING SUPPLIES","BAKING CHOCOLATE","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"80","DRY GROCERY","BAKING SUPPLIES","CHOCOLATE CHIPS & MORSELS","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"81","DRY GROCERY","BAKING SUPPLIES","BAKING CHIPS OTHER THAN CHOCOLATE","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"82","DRY GROCERY","BAKING SUPPLIES","COCOA","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"83","DRY GROCERY","BAKING SUPPLIES","FRUIT PROTECTORS","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"84","DRY GROCERY","BAKING SUPPLIES","FRUIT PECTINS","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"85","DRY GROCERY","BAKING SUPPLIES","BAKING POWDER","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"86","DRY GROCERY","BAKING SUPPLIES","BAKING SODA","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"87","DRY GROCERY","BAKING SUPPLIES","CORN/POTATO STARCH","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"88","DRY GROCERY","BAKING SUPPLIES","PERISHABLE BREADING STUFFING CROUTON","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"89","DRY GROCERY","BAKING SUPPLIES","PERISHABLE SPECIALTY DRIED BREAD","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"90","DRY GROCERY","BAKING SUPPLIES","PERISHABLE CAKE DECORATION AND ICING","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"91","DRY GROCERY","BAKING SUPPLIES","PERISHABLE BAKING CHOCOLATE CHIP COCOA","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"92","DRY GROCERY","BAKING SUPPLIES","PERISHABLE CAPERS","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"93","DRY GROCERY","BAKING SUPPLIES","PERISHABLE BAKING SUPPLY","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"94","DRY GROCERY","BAKING SUPPLIES","PERISHABLE YEAST","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"95","DRY GROCERY","BAKING SUPPLIES","RBC CAKE DECORATION AND ICING","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"96","DAIRY","DOUGH PRODUCTS","DOUGH PRODUCTS - COOKIES & BROWNIES - REFRIGERATED","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"97","DAIRY","DOUGH PRODUCTS","DOUGH PRODUCTS-SWEET ROLLS-REFRIGERATED","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"98","DAIRY","DOUGH PRODUCTS","DOUGH PRODUCTS-BISCUITS-REFRIGERATED","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"99","DAIRY","DOUGH PRODUCTS","DOUGH PRODUCTS-DINNER ROLLS-REFRIGERATED","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"100","DAIRY","DOUGH PRODUCTS","DOUGH PRODUCTS-REMAINING-REFRIGERATED","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
